Title,Authors,Date,Publisher,Link,Abstract,What is the application?,Who is the user?,What age?,Why use AI?,Study design
Is ChatGPT Massively Used by Students Nowadays? A Survey on the Use of Large Language Models such as ChatGPT in Educational Settings,"Jérémie Sublime, Ilaria Renna",12/2024,arXiv,https://arxiv.org/abs/2412.17486,"The rapid adoption of Generative AI (GenAI) based on Large Language Models (LLMs) such as ChatGPT has recently and profoundly impacted education, offering transformative opportunities while raising significant concerns. In this study we present the results of a survey that investigates how 395 students aged 13 to 25 years old in France and Italy integrate LLMs into their educational routines. Key findings include the widespread use of these tools across all age groups and disciplines, with older students and male students demonstrating higher usage frequencies, particularly in scientific contexts. The results also show gender disparities, raising concerns about an emerging AI literacy and technological gender gap. Additionally, while most students utilise LLMs constructively, the lack of systematic proofreading and critical evaluation among younger users suggests potential risks to cognitive skills development, including critical thinking and foundational knowledge. The survey results underscore the need for educational institutions to adapt their curricula to integrate AI tools effectively, promoting ethical use, critical thinking, and awareness of AI limitations and environmental costs. This paper provides actionable recommendations for fostering equitable and effective cohabitation of LLMs and education while addressing emerging challenges.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support",Student,"Middle School (6-8), High School (9-12), Post-Secondary","Efficiency, Outcomes – Literacy, Outcomes – Other Academic",Descriptive – Implementation and Use
LearnLM: Improving Gemini for Learning,"LearnLM Team, Google",12/2024,arXiv,https://arxiv.org/abs/2412.16429,"Today's generative AI systems are tuned to present information by default rather than engage users in service of learning as a human tutor would. To address the wide range of potential education use cases for these systems, we reframe the challenge of injecting pedagogical behavior as one of \textit{pedagogical instruction following}, where training and evaluation examples include system-level instructions describing the specific pedagogy attributes present or desired in subsequent model turns. This framing avoids committing our models to any particular definition of pedagogy, and instead allows teachers or developers to specify desired model behavior. It also clears a path to improving Gemini models for learning -- by enabling the addition of our pedagogical data to post-training mixtures -- alongside their rapidly expanding set of capabilities. Both represent important changes from our initial tech report. We show how training with pedagogical instruction following produces a LearnLM model (available on Google AI Studio) that is preferred substantially by expert raters across a diverse set of learning scenarios, with average preference strengths of 31\% over GPT-4o, 11\% over Claude 3.5, and 13\% over the Gemini 1.5 Pro model LearnLM was based on.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support",Student,"Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Outcomes – Other Academic, Outcomes – Differentiation","Descriptive – Product Development, Impact – Quasi–experimental"
Learning to Give Useful Hints: Assistance Action Evaluation and Policy Improvements,"Robin Schmucker, Nimish Pachapurkar, Shanmuga Bala, Miral Shah, Tom Mitchell",08/2023, Responsive and Sustainable Educational Futures,https://link.springer.com/chapter/10.1007/978-3-031-42682-7_26,"We describe a fielded online tutoring system that learns which of several candidate assistance actions (e.g., one of multiple hints) to provide to students when they answer a practice question incorrectly. The system learns, from large-scale data of prior students, which assistance action to give for each of thousands of questions, to maximize measures of student learning outcomes. Using data from over 190,000 students in an online Biology course, we quantify the impact of different assistance actions for each question on a variety of outcomes (e.g., response correctness, practice completion), framing the machine learning task as a multi-armed bandit problem. We study relationships among different measures of learning outcomes, leading us to design an algorithm that for each question decides on the most suitable assistance policy training objective to optimize central target measures. We evaluate the trained policy for providing assistance actions, comparing it to a randomized assistance policy in live use with over 20,000 students, showing significant improvements resulting from the system’s ability to learn to teach better based on data from earlier students in the course. We discuss our design process and challenges we faced when fielding data-driven technology, providing insights to designers of future learning systems.","Teaching – Instructional Materials, Learning – Student Support",Student,High School (9-12),Efficiency,Impact – Randomized Controlled Trial
M-Powering Teachers: Natural Language Processing Powered Feedback Improves 1:1 Instruction and Student Outcomes,"Dorottya Demszky, Jing Liu",07/2023,EdWorkingPapers.com,https://edworkingpapers.com/sites/default/files/ai23-759-v2.pdf,"Although learners are being connected 1:1 with instructors at an increasing scale, most of these instructors do not receive effective, consistent feedback to help them improve. We deployed MPowering Teachers, an automated tool based on natural language processing to give instructors feedback on dialogic instructional practices —including their uptake of student contributions, talk time and questioning practices — in a 1:1 online learning context. We conducted a randomized controlled trial on Polygence, a research mentorship platform for high schoolers (n=414 mentors) to evaluate the effectiveness of the feedback tool. We find that the intervention improved mentors’ uptake of student contributions by 10%, reduced their talk time by 5% and improved student’s experience with the program as well as their relative optimism about their academic future. These results corroborate existing evidence that scalable and low-cost automated feedback can improve instruction and learning in online educational contexts.","Teaching – Assessment and Feedback, Teaching – Professional Learning",Educator,"High School (9-12), Post-Secondary","Efficiency, Outcomes – Other Academic",Impact – Randomized Controlled Trial
Mapping Artificial Intelligence Integration in Education: A Decade of Innovation and Impact (2013–2023)—A Bibliometric Analysis,"Muhammad Afzaal, Xiao Shanshan, Dong Yan, Muhammad Younas",08/2024,IEEE,https://ieeexplore.ieee.org/document/10636217,"Artificial Intelligence (AI) has garnered considerable attention from educators, policymakers, and scholars within the realms of education and social sciences, achieving notable historical significance. Employing bibliometric analysis, this paper aims to provide a comprehensive analysis of the most noticeable trend of using AI in education. The corpus comprises a dataset of publications sourced from Web of Science (WoS) and Scopus-indexed journals. It concentrates on contemporary scientific research and innovative methodologies within the education sector, particularly relevant to the intersection of education and technology in the AI era. The results reveal a significant rise in AI-related technological research beginning in 2018, with citations reaching their zenith in 2019. Furthermore, collaborative metrics indicate that the United States and China are leading in publication volume. In addition, the study highlights a rising interest in AI applications within education and healthcare, particularly in the context of the COVID-19 pandemic.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Analyzing","Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation",Systematic Review
Math Education with Large Language Models: Peril or Promise?,"Harsh Kumar, David M. Rothschild, Daniel G. Goldstein, Jake M. Hofman",11/2023,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4641653,"The widespread availability of large language models (LLMs) has provoked both fear and excitement in the domain of education. On one hand, there is the concern that students will offload their coursework to LLMs, limiting what they themselves learn. On the other hand, there is the hope that LLMs might serve as scalable, personalized tutors. Here we conduct a large, pre-registered experiment involving 1200 participants to investigate how exposure to LLM-based explanations affect learning. In the experiment's learning phase, we gave participants practice problems and manipulated two key factors in a between-participants design: first, whether they were required to attempt a problem before or after seeing the correct answer, and second, whether participants were shown only the answer or were also exposed to an LLM-generated explanation of the answer. Subsequently, all participants were tested on new test questions to assess how well they had learned the underlying concepts. Overall we found that LLM-based explanations positively impacted learning relative to seeing only correct answers. The benefits were largest for those who attempted problems on their own first before consulting LLM explanations, but surprisingly this trend held even for those participants who were exposed to LLM explanations before attempting to solve practice problems on their own. An accompanying qualitative analysis revealed that these boosts in performance were indeed due to participants adopting the strategies they were shown, and that exposure to LLM explanations increased the amount people felt they learned and decreased the perceived difficulty of the test problems.","Teaching – Assessment and Feedback, Learning – Student Support","Student, Educator",High School (9-12),"Outcomes – Numeracy, Outcomes – Differentiation",Impact – Randomized Controlled Trial
MindScratch: A Visual Programming Support Tool for Classroom Learning Based on Multimodal Generative AI,"Yunnong Chen, Shuhong Xiao, Yaxuan Song, Zejian Li, Lingyun Sun, Liuqing Chen",12/2024,arXiv,https://arxiv.org/abs/2412.09001,"Programming has become an essential component of K-12 education and serves as a pathway for developing computational thinking skills. Given the complexity of programming and the advanced skills it requires, previous research has introduced user-friendly tools to support young learners. However, our interviews with six programming educators revealed that current tools often fail to reflect classroom learning objectives, offer flexible, high-quality guidance, and foster student creativity. This highlights the need for more adaptive and reflective tools. Therefore, we introduced MindScratch, a multimodal generative AI (GAI) powered visual programming support tool. MindScratch aims to balance structured classroom activities with free programming creation, supporting students in completing creative programming projects based on teacher-set learning objectives while also providing programming scaffolding. Our user study results indicate that, compared to the baseline, MindScratch more effectively helps students achieve high-quality projects aligned with learning objectives. It also enhances students' computational thinking skills and creative thinking. Overall, we believe that GAI-driven educational tools like MindScratch offer students a focused and engaging learning experience.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support","Student, Educator",Elementary (PK5),"Efficiency, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Durable Skills","Impact – Randomized Controlled Trial, Impact – Quasi–experimental"
New Modes of Learning Enabled by AI Chatbots: Three Methods and Assignments,"Ethan R. Mollick, Lilach Mollick",12/2022,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4300783,"Chatbots are able to produce high-quality, sophisticated text in natural language. The authors of this paper believe that AI can be used to overcome three barriers to learning in the classroom: improving transfer, breaking the illusion of explanatory depth, and training students to critically evaluate explanations. The paper provides background information and techniques on how AI can be used to overcome these barriers and includes prompts and assignments that teachers can incorporate into their teaching. The goal is to help teachers use the capabilities and drawbacks of AI to improve learning.","Teaching – Instructional Materials, Teaching – Assessment and Feedback",Educator,"High School (9-12), Post-Secondary","Outcomes – Differentiation, Outcomes – Durable Skills",Descriptive – Implementation and Use
"Open AI in Education, the Responsible and Ethical Use of ChatGPT Towards Lifelong Learning",David Mhlanga,02/2023,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4354422,"Significant changes have been brought about in society, the economy, and the environment as a result of the quick development of technology and the interconnection of the world. Artificial intelligence has advanced significantly in recent years, which has sparked the creation of ground-breaking technologies like Open AI's ChatGPT. Modern technology like the ChatGPT language model has the potential to revolutionize the educational landscape. This article's goals are to present a thorough analysis of the responsible and ethical usage of ChatGPT in education, as well as to encourage further study and debate on this important subject. The study found that the use of ChatGPT in education requires respect for privacy, fairness and non-discrimination, transparency in the use of ChatGPT, and a few other factors that were included in the paper. To sustain ethics and accountability in the global education sector, it is advised in this study that all these recommendations be carried out.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Literacy, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Durable Skills",Systematic Review
Pros and Cons of Artificial Intelligence–ChatGPT Adoption in Education Settings: A Literature Review and Future Research Agendas,"Idria Maita, Saide Saide, Afifah Mesha Putri, Didi Muwardi",04/2024,IEEE,https://ieeexplore.ieee.org/document/10510580,"The integration of artificial intelligence, particularly ChatGPT, in education presents both promising opportunities and notable challenges. Through a systematic review employing the PRISMA method, this article analyzed 45 references published of ChatGPTs impact on educational environments. While ChatGPT offers teachers a versatile learning tool, aiding in tasks, such as lesson planning and content generation, concerns regarding academic integrity and over-reliance on technology have emerged. Ethical considerations, including the potential for cheating in assignments and exams, highlight the need for clear guidelines and ethical frameworks to govern its use. Institutions or related organizations must address issues, such as plagiarism and data privacy, to ensure responsible integration of ChatGPT. Nurturing a growth mindset among educators and learners is crucial to effectively navigate ChatGPT integration. By aligning strategies to leverage ChatGPTs’ capabilities while mitigating risks, educators, institutions, and policymakers can enhance the quality of education in an evolving technological landscape. This article contributes to a deeper understanding of ChatGPTs’ implications in education, providing insights into its advantages and challenges. Informed decision making and proactive measures are essential to harness ChatGPTs potential for transformative impact while safeguarding educational integrity and ethics.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Analyzing","Student, Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Literacy, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Social Emotional, Outcomes – Durable Skills",Systematic Review
Qualitative and quantitative analysis of student's perceptions in the use of generative AI in educational environments,"Sergio Altares-López, José M. Bengochea-Guevara, Carlos Ranz, Héctor Montes, Angela Ribeiro",09/2024,arXiv,https://arxiv.org/abs/2405.13487,"The effective integration of generative artificial intelligence in education is a fundamental aspect to prepare future generations. The objective of this study is to analyze from a quantitative and qualitative point of view the perception of controlled student-IA interaction within the classroom. This analysis includes assessing the ethical implications and everyday use of AI tools, as well as understanding whether AI tools encourage students to pursue STEM careers. Several points for improvement in education are found, such as the challenge of getting teachers to engage with new technologies and adapt their methods in all subjects, not just those related to technologies.","Teaching – Instructional Materials, Learning – Student Support","Student, Educator",High School (9-12),"Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Social Emotional",Impact – Quasi–experimental
"Questioning the Scope of AI Standardization in Learning, Education, and Training","Jon Mason, Bruce E. Peoples, Jaeho Lee",01/2020,IEEE,https://ieeexplore.ieee.org/document/10258062,"Well-defined terminology and scope are essential in formal standardization work. In the broad domain of Information and Communications Technology (ICT) the necessity is even more so due to proliferation and appropriation of terms from other fields and public discourse - the term ‘smart’ is a classic example; as is ‘deep learning’. In reviewing the emerging impact of Artificial Intelligence (AI) on the field of Information Technology for Learning, Education, and Training (ITLET), this paper highlights several questions that might assist in developing scope statements of new work items. While learners and teachers are very much foregrounded in past and present standardization efforts in ITLET, little attention has been placed until recently on whether these learners and teachers are necessarily human. Now that AI is a hot spot of innovation it is receiving considerable attention from standardization bodies such as ISO/IEC, IEEE and pan-European initiatives such as the Next Generation Internet. Thus, terminology such as ‘blended learning’ necessarily now spans not just humans in a mix of online and offline learning, but also mixed reality and AI paradigms, developed to assist human learners in environments such as Adaptive Instructional Systems (AIS) that extend the scope and design of a learning experience where a symbiosis is formed between humans and AI. Although the fields of LET and AI may utilize similar terms, the language of AI is mathematics and terms can mean different things in each field. Nonetheless, in ‘symbiotic learning’ contexts where an AIS at times replaces a human teacher, a symbiosis between the human learner and the AIS occurs in such a way where both can exist as teacher and learner. While human ethics and values are preeminent in this new symbiosis, a shift towards a new ‘intelligence nexus’ is signalled where ethics and values can also apply to AI in learning, education, and training (LET) contexts. In making sense of the scope of standardizati...","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Differentiation, Outcomes – Durable Skills","Descriptive – Implementation and Use, Systematic Review"
Realizing Visual Question Answering for Education: GPT-4V as a Multimodal AI,"Gyeong-Geon Lee, Xiaoming Zhai",05/2024,arXiv,https://arxiv.org/abs/2405.07163,"Educational scholars have analyzed various image data acquired from teaching and learning situations, such as photos that shows classroom dynamics, students' drawings with regard to the learning content, textbook illustrations, etc. Unquestioningly, most qualitative analysis of and explanation on image data have been conducted by human researchers, without machine-based automation. It was partially because most image processing artificial intelligence models were not accessible to general educational scholars or explainable due to their complex deep neural network architecture. However, the recent development of Visual Question Answering (VQA) techniques is accomplishing usable visual language models, which receive from the user a question about the given image and returns an answer, both in natural language. Particularly, GPT-4V released by OpenAI, has wide opened the state-of-the-art visual langauge model service so that VQA could be used for a variety of purposes. However, VQA and GPT-4V have not yet been applied to educational studies much. In this position paper, we suggest that GPT-4V contributes to realizing VQA for education. By 'realizing' VQA, we denote two meanings: (1) GPT-4V realizes the utilization of VQA techniques by any educational scholars without technical/accessibility barrier, and (2) GPT-4V makes educational scholars realize the usefulness of VQA to educational research. Given these, this paper aims to introduce VQA for educational studies so that it provides a milestone for educational research methodology. In this paper, chapter II reviews the development of VQA techniques, which primes with the release of GPT-4V. Chapter III reviews the use of image analysis in educational studies. Chapter IV demonstrates how GPT-4V can be used for each research usage reviewed in Chapter III, with operating prompts provided. Finally, chapter V discusses the future implications.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Analyzing",Educator,"Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation","Descriptive – Implementation and Use, Systematic Review"
Rethinking the A in STEAM: Insights from and for AI Literacy Education,"Pekka Mertala, JAnne Fagerlund, Tomi Slotte Dufva",05/2024,arXiv,https://arxiv.org/abs/2405.18179,"This article rethinks the role of arts in STEAM education, emphasizing its importance in AI literacy within K-12 contexts. Arguing against the marginalization of arts, the paper is structured around four key domains: language studies, philosophy, social studies, and visual arts. Each section addresses critical AI-related phenomena and provides pedagogical strate-gies for effective integration into STEAM education. Language studies focus on media representations and the probabilistic nature of AI language models. The philosophy section examines anthropomorphism, ethics, and the misconstrued human-like capabilities of AI. Social studies discuss AI's societal impacts, biases, and ethical considerations in data prac-tices. Visual arts explore the implications of generative AI on artistic processes and intellec-tual property. The article concludes by advocating for a robust inclusion of arts in STEAM to foster a holistic, equitable, and sustainable understanding of AI, ultimately inspiring technologies that promote fairness and creativity.","Teaching – Instructional Materials, Teaching – Professional Learning, Communicating / Social Tools","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12)","Outcomes – Other Academic, Outcomes – Durable Skills, Reimagined Schooling",Systematic Review
Systematic review of research on artificial intelligence in K-12 education (2017–2022) - pre ChatGPT 3.5,"Florence Martin, Min Zhuang, Darlene Schaefer",05/2023,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2666920X23000747,"PurposeThe purpose of this systematic review is to provide a more complete and nuanced understanding of the role and impact of AI in K-12 education by synthesizing publication trends, AI research themes, AI methods and technology applications, and AI use by students and teachers in K-12 educational settings.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support, Analyzing","Student, Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12)","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation, Reimagined Schooling",Systematic Review
Teachers’ and Students’ Perception Towards Integration of Artificial Intelligence in School Curriculum: a Survey,"Rini Mandal, Dr Jayanta Mete",07/2023,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4544750,"Introduction- Artificial Intelligence (AI) refers to the ability of digital computers or machines to perform intelligent tasks. The term is frequently applied to modern systems, endowed with the intellectual characteristics of humans and the ways people use their brains to perceive, learn, reason and decide action. NEP 2020 also highlighted the role of technology in the advancement of the nation and recommended the integration of AI into the education system of India.Purpose- The purpose of the research is to know the perception of teachers and students towards AI integration in school curricula.Methodology- Descriptive survey method is used on students and teachers of (class IX-X), CBSE board of West Bengal, India. Data are collected through the Questionnaire tool and analysed using Percentages.Finding & Conclusion - Students can connect learning to life outside the school. AI integration in the school curriculum is providing a student-centric learning approach and makes learning more joyful. On the other hand, AI also helps teachers in teaching, evaluation process and so on. With the integration of AI into the school curriculum students will be prepared for technological advancement and can cope with the changing needs of society. It is visualized that such a step would help to build a larger understanding of AI amongst the teacher and student communities.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support","Student, Educator",High School (9-12),"Outcomes – Other Academic, Outcomes – Differentiation",Descriptive – Implementation and Use
Teaching Machine Learning in K–12 Classroom: Pedagogical and Technological Trajectories for Artificial Intelligence Education,"Matti Tedre, Tapani Toivonen, Juho Kahila, Henriikka Vartiainen, Teemu Valtonen, Ilkka Jormanainen",07/2021,IEEE,https://ieeexplore.ieee.org/document/9490241,"Over the past decades, numerous practical applications of machine learning techniques have shown the potential of AI-driven and data-driven approaches in a large number of computing fields. Machine learning is increasingly included in computing curricula in higher education, and a quickly growing number of initiatives are expanding it in K-12 computing education, too. As machine learning enters K-12 computing education, understanding how intuition and agency in the context of such systems is developed becomes a key research area. But as schools and teachers are already struggling with integrating traditional computational thinking and traditional artificial intelligence into school curricula, understanding the challenges behind teaching machine learning in K-12 is an even more daunting challenge for computing education research. Despite the central position of machine learning and AI in the field of modern computing, the computing education research body of literature contains remarkably few studies of how people learn to train, test, improve, and deploy machine learning systems. This is especially true of the K-12 curriculum space. This article charts the emerging trajectories in educational practice, theory, and technology related to teaching machine learning in K-12 education. The article situates the existing work in the context of computing education in general, and describes some differences that K-12 computing educators should take into account when facing this challenge. The article focuses on key aspects of the paradigm shift that will be required in order to successfully integrate machine learning into the broader K-12 computing curricula. A crucial step is abandoning the belief that rule-based “traditional” programming is a central aspect and building block in developing next generation computational thinking.","Teaching – Instructional Materials, Teaching – Professional Learning",Educator,"Elementary (PK5), Middle School (6-8), High School (9-12)","Outcomes – Other Academic, Outcomes – Durable Skills, Reimagined Schooling",Systematic Review
The Extent of AI Applications in EFL Learning and Teaching,"Yousif A. Alshumaimeri, Abdulrahman K. Alshememry",10/2024,IEEE,https://ieeexplore.ieee.org/document/10272618,"Foreign language teaching, like almost all other aspects of human existence, has been substantially influenced by recent advances in modern information and communication technologies, such as augmented reality, virtual reality, and artificial intelligence (AI). Although AI has been in use for almost 30 years, educators remain skeptical toward the use of AI-technology in the education field more broadly, and how its use might meaningfully affect English language skills. Through a systematic review, this work seeks to provide a summary of the available literature with regard to the applications of AI in English as a foreign language (EFL) education. This review considers a wide range of AI technologies and methodologies, with a specific focus on the integration of AI into the realm of EFL education. The review then delineates the possible effects of AI in terms of developing students' language skills, students' and teachers' perceptions of using AI applications, and the difficulties and challenges inherent to implementing AI applications. The discussion culminates by identifying research gaps.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support","Student, Educator","High School (9-12), Post-Secondary","Outcomes – Literacy, Outcomes – Other Academic, Outcomes – Differentiation",Systematic Review
The Impact of Artificial Intelligence on Students' Learning Experience,"Potter Kaledio, Abill Robert, Louis Frank",02/2024,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4716747,"The integration of artificial intelligence (AI) in education has the potential to revolutionize the learning experience for students. This abstract provides an overview of the impact of AI on students' learning experience, highlighting its benefits and potential challenges.AI technologies such as machine learning, natural language processing, and data analytics have been increasingly adopted in educational settings. These technologies enable personalized and adaptive learning experiences, providing students with tailored content and feedback based on their individual needs and learning styles. AI-powered educational platforms can analyze vast amounts of data to identify patterns and offer personalized recommendations, thereby enhancing students' engagement and motivation.One of the significant benefits of AI in education is its ability to provide immediate and constructive feedback to students. Automated grading systems powered by AI algorithms can assess and provide feedback on assignments, quizzes, and exams promptly, allowing students to understand their strengths and weaknesses in real-time. This timely feedback facilitates self-reflection and enables students to make necessary improvements, leading to enhanced learning outcomes.Furthermore, AI can support collaborative learning environments. Intelligent tutoring systems and virtual learning assistants can facilitate group discussions, provide guidance, and foster collaboration among students. These AI-powered tools can promote active participation, critical thinking, and problem-solving skills, creating a dynamic learning environment that mirrors real-world scenarios.However, the integration of AI in education also poses challenges that need to be addressed. Privacy and ethical concerns arise when dealing with student data, as AI relies on collecting and analyzing personal information to provide personalized experiences. Safeguarding student data privacy and ensuring ethical use of AI technologies are essential considerations for educators and policymakers.Additionally, there is a potential risk of over-reliance on AI technologies, leading to a passive learning experience for students. Balancing the use of AI with human instruction and guidance is crucial to maintain meaningful interactions and promote deeper understanding.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Analyzing","Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Social Emotional",Systematic Review
The Impact of Large Language Models on Students: A Randomised Study of Socratic vs. Non-Socratic AI and the Role of Step-by-Step Reasoning,"Andrea Blasco, Vicky Charisi",12/2024,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5040921,"Purpose: How does integrating Large Language Models (LLMs) into classroom activities influence students' learning? Using a randomised controlled experiment, we examined whether LLMs' step-by-step explanatory capabilities improve students' performance on complex tasks. Additionally, we compare the effects of Socratic AI-LLMpowered chatbots designed to encourage critical thinking through incremental guidance with Non-Socratic AI in shaping students' engagement, interactions, and learning outcomes.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support",Student,"Middle School (6-8), High School (9-12)","Outcomes – Other Academic, Outcomes – Durable Skills",Impact – Randomized Controlled Trial
Towards Educator-Driven Tutor Authoring: Generative AI Approaches for Creating Intelligent Tutor Interfaces,"Tommaso Calo, Christopher J. MacLellan",05/2024,arXiv,https://arxiv.org/abs/2405.14713,"Intelligent Tutoring Systems (ITSs) have shown great potential in delivering personalized and adaptive education, but their widespread adoption has been hindered by the need for specialized programming and design skills. Existing approaches overcome the programming limitations with no-code authoring through drag and drop, however they assume that educators possess the necessary skills to design effective and engaging tutor interfaces. To address this assumption we introduce generative AI capabilities to assist educators in creating tutor interfaces that meet their needs while adhering to design principles. Our approach leverages Large Language Models (LLMs) and prompt engineering to generate tutor layout and contents based on high-level requirements provided by educators as inputs. However, to allow them to actively participate in the design process, rather than relying entirely on AI-generated solutions, we allow generation both at the entire interface level and at the individual component level. The former provides educators with a complete interface that can be refined using direct manipulation, while the latter offers the ability to create specific elements to be added to the tutor interface. A small-scale comparison shows the potential of our approach to enhance the efficiency of tutor interface design. Moving forward, we raise critical questions for assisting educators with generative AI capabilities to create personalized, effective, and engaging tutors, ultimately enhancing their adoption.",Teaching – Instructional Materials,Educator,"Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary","Efficiency, Reimagined Schooling","Descriptive – Product Development, Impact – Quasi–experimental"
Towards Responsible Development of Generative AI for Education: An Evaluation-Driven Approach,"Irina Jurenka, Markus Kunesch, Kevin R. McKee, Daniel Gillick, Shaojian Zhu, Sara Wiltberger, Shubham Milind Phal, Katherine Hermann, Daniel Kasenberg, Avishkar Bhoopchand, Ankit Anand, Miruna Pîslar, Stephanie Chan, Lisa Wang, Jennifer She, Parsa Mahmoud",07/2024,arXiv,https://arxiv.org/abs/2407.12687,"A major challenge facing the world is the provision of equitable and universal access to quality education. Recent advances in generative AI (gen AI) have created excitement about the potential of new technologies to offer a personal tutor for every learner and a teaching assistant for every teacher. The full extent of this dream, however, has not yet materialised. We argue that this is primarily due to the difficulties with verbalising pedagogical intuitions into gen AI prompts and the lack of good evaluation practices, reinforced by the challenges in defining excellent pedagogy. Here we present our work collaborating with learners and educators to translate high level principles from learning science into a pragmatic set of seven diverse educational benchmarks, spanning quantitative, qualitative, automatic and human evaluations; and to develop a new set of fine-tuning datasets to improve the pedagogical capabilities of Gemini, introducing LearnLM-Tutor. Our evaluations show that LearnLM-Tutor is consistently preferred over a prompt tuned Gemini by educators and learners on a number of pedagogical dimensions. We hope that this work can serve as a first step towards developing a comprehensive educational evaluation framework, and that this can enable rapid progress within the AI and EdTech communities towards maximising the positive impact of gen AI in education.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation","Descriptive – Product Development, Impact – Quasi–experimental"
